=== TOKENS DETECTADOS ===
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 2 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 3 (Número)
Línea 72: } (Signo)
Línea 72: , (Signo)
Línea 72: u2550 (Identificador)
Línea 72: , (Signo)
Línea 72: u2560 (Identificador)
Línea 72: , (Signo)
Línea 72: u256C (Identificador)
Línea 72: , (Signo)
Línea 72: u2563 (Identificador)
Línea 72: ) (Signo)
Línea 72: ; (Signo)
Línea 73: Console (Identificador)
Línea 73: Write (Identificador)
Línea 73: ( (Signo)
Línea 73: { (Signo)
Línea 73: 0 (Número)
Línea 73: } (Signo)
Línea 73: { (Signo)
Línea 73: 1 (Número)
Línea 73: } (Signo)
Línea 73: { (Signo)
Línea 73: 0 (Número)
Línea 73: } (Signo)
Línea 73: { (Signo)
Línea 73: 0 (Número)
Línea 73: } (Signo)
Línea 73: , (Signo)
Línea 73: u2551 (Identificador)
Línea 73: , (Signo)
Línea 73: i (Identificador)
Línea 73: + (Operador)
Línea 73: 1 (Número)
Línea 73: ) (Signo)
Línea 73: ; (Signo)
Línea 74: for (Identificador)
Línea 74: ( (Signo)
Línea 74: j (Identificador)
Línea 74: = (Operador)
Línea 74: 0 (Número)
Línea 74: ; (Signo)
Línea 74: j (Identificador)
Línea 74: < (Operador)
Línea 74: tictactoe (Identificador)
Línea 74: i (Identificador)
Línea 74: Length (Identificador)
Línea 74: ; (Signo)
Línea 74: j (Identificador)
Línea 74: + (Operador)
Línea 74: + (Operador)
Línea 74: ) (Signo)
Línea 75: Console (Identificador)
Línea 75: Write (Identificador)
Línea 75: ( (Signo)
Línea 75: + (Operador)
Línea 75: tictactoe (Identificador)
Línea 75: i (Identificador)
Línea 75: j (Identificador)
Línea 75: + (Operador)
Línea 75: u2551 (Identificador)
Línea 75: ) (Signo)
